__Area,__AssetID_norm,Asset Type,PoF,CoF_USD_v2,Annual_Risk_USD_v2,RepCost_best,__RxYear,Years_to_Rx,Rx_urgency01,Asset Risk Score,Governing COF Score,_exp,_cmp,Compliance_rate
SS-liquid,110612,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5667102844653334,12000.0,6800.523413584001,34903.71,,,0.0,15.0,3.0,503.65503080082135,36,0.0714774951076321
SS-liquid,110622,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5666030235181069,12000.0,6799.236282217283,32437.41,,,0.0,15.0,3.0,503.65503080082135,37,0.0734629810828441
SS-liquid,110632,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5666030235181069,12000.0,6799.236282217283,32437.41,,,0.0,15.0,3.0,503.65503080082135,37,0.0734629810828441
SS-liquid,110616,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5666030235181069,12000.0,6799.236282217283,22300.72,,,0.0,15.0,3.0,503.65503080082135,37,0.0734629810828441
SS-liquid,110617,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5666030235181069,12000.0,6799.236282217283,32437.41,,,0.0,15.0,3.0,503.65503080082135,37,0.0734629810828441
SS-liquid,110574,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5666030235181069,12000.0,6799.236282217283,32437.41,,,0.0,15.0,3.0,503.65503080082135,37,0.0734629810828441
SS-liquid,110607,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5666030235181069,12000.0,6799.236282217283,34903.71,,,0.0,15.0,3.0,503.65503080082135,37,0.0734629810828441
SS-liquid,110621,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5666030235181069,12000.0,6799.236282217283,22300.72,,,0.0,15.0,3.0,503.65503080082135,37,0.0734629810828441
SS-liquid,110631,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5666030235181069,12000.0,6799.236282217283,22300.72,,,0.0,15.0,3.0,503.65503080082135,37,0.0734629810828441
SS-liquid,110627,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5666030235181069,12000.0,6799.236282217283,32437.41,,,0.0,15.0,3.0,503.65503080082135,37,0.0734629810828441
SS-liquid,110606,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5666030235181069,12000.0,6799.236282217283,23996.3,,,0.0,15.0,3.0,503.65503080082135,37,0.0734629810828441
SS-liquid,110626,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5666030235181069,12000.0,6799.236282217283,22300.72,,,0.0,15.0,3.0,503.65503080082135,37,0.0734629810828441
SS-liquid,110601,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5666030235181069,12000.0,6799.236282217283,23996.3,,,0.0,15.0,3.0,503.65503080082135,37,0.0734629810828441
SS-liquid,110594,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5666030235181069,12000.0,6799.236282217283,23996.3,,,0.0,15.0,3.0,503.65503080082135,37,0.0734629810828441
SS-liquid,110595,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5666030235181069,12000.0,6799.236282217283,34903.71,,,0.0,15.0,3.0,503.65503080082135,37,0.0734629810828441
SS-liquid,110559,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5664957563296861,12000.0,6797.949075956233,32437.41,,,0.0,15.0,3.0,503.65503080082135,38,0.0754484670580561
SS-liquid,110558,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5664957563296861,12000.0,6797.949075956233,22300.72,,,0.0,15.0,3.0,503.65503080082135,38,0.0754484670580561
SS-liquid,110579,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5664957563296861,12000.0,6797.949075956233,32437.41,,,0.0,15.0,3.0,503.65503080082135,38,0.0754484670580561
SS-liquid,110568,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5664957563296861,12000.0,6797.949075956233,22300.72,,,0.0,15.0,3.0,503.65503080082135,38,0.0754484670580561
SS-liquid,110569,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5664957563296861,12000.0,6797.949075956233,32437.41,,,0.0,15.0,3.0,503.65503080082135,38,0.0754484670580561
SS-liquid,110554,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5664957563296861,12000.0,6797.949075956233,32437.41,,,0.0,15.0,3.0,503.65503080082135,38,0.0754484670580561
SS-liquid,110573,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5664957563296861,12000.0,6797.949075956233,22300.72,,,0.0,15.0,3.0,503.65503080082135,38,0.0754484670580561
SS-liquid,110553,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5664957563296861,12000.0,6797.949075956233,22300.72,,,0.0,15.0,3.0,503.65503080082135,38,0.0754484670580561
SS-liquid,110549,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5664957563296861,12000.0,6797.949075956233,32437.41,,,0.0,15.0,3.0,503.65503080082135,38,0.0754484670580561
SS-liquid,110548,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5664957563296861,12000.0,6797.949075956233,22300.72,,,0.0,15.0,3.0,503.65503080082135,38,0.0754484670580561
SS-liquid,110543,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5664957563296861,12000.0,6797.949075956233,32437.41,,,0.0,15.0,3.0,503.65503080082135,38,0.0754484670580561
SS-liquid,110542,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5664957563296861,12000.0,6797.949075956233,22300.72,,,0.0,15.0,3.0,503.65503080082135,38,0.0754484670580561
SS-liquid,110563,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5664957563296861,12000.0,6797.949075956233,22300.72,,,0.0,15.0,3.0,503.65503080082135,38,0.0754484670580561
SS-liquid,110564,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5664957563296861,12000.0,6797.949075956233,32437.41,,,0.0,15.0,3.0,503.65503080082135,38,0.0754484670580561
SS-liquid,110578,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5664957563296861,12000.0,6797.949075956233,22300.72,,,0.0,15.0,3.0,503.65503080082135,38,0.0754484670580561
JI-biosolids,115334,"BLOWER, CENTRIFUGAL",0.5657058509246227,12000.0,6788.470211095472,68752.81,2032.0,8.0,0.2,6.0,2.0,389.7330595482546,1,0.002565858798735511
JI-biosolids,115333,"BLOWER, CENTRIFUGAL",0.5657058509246227,12000.0,6788.470211095472,68752.81,2032.0,8.0,0.2,6.0,2.0,389.7330595482546,1,0.002565858798735511
SS-biosolids,112698,"PUMP, CENTRIFUGAL",0.5650421636196052,12000.0,6780.505963435263,7240.49,,,0.0,15.0,3.0,527.6386036960986,54,0.10234277708592776
JI-liquid,105160,"PUMP SUBMERSIBLE, CENTRIFUGAL",0.5649435446256459,12000.0,6779.32253550775,21493.8,,,0.0,10.0,2.0,6.595482546201231,0,0.0
SS-liquid,110408,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5649420014710805,12000.0,6779.304017652967,680362.81,,,0.0,12.0,3.0,503.65503080082135,21,0.041695205479452054
SS-biosolids,112685,"PUMP, CENTRIFUGAL",0.5648372043045115,12000.0,6778.046451654138,7240.49,,,0.0,15.0,3.0,527.6386036960986,56,0.1061332503113325
SS-liquid,110406,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5648346389158276,12000.0,6778.015666989932,680362.81,,,0.0,12.0,3.0,503.65503080082135,22,0.04368069145466406
JI-liquid,155799,CLARIFIER MECHANISM,0.5647893812297098,12000.0,6777.472574756517,0.0,2044.0,20.0,0.0,10.0,5.0,350.75975359342914,1,0.002850954220817235
JI-liquid,155797,CLARIFIER MECHANISM,0.5647893812297098,12000.0,6777.472574756517,0.0,2044.0,20.0,0.0,10.0,5.0,350.75975359342914,1,0.002850954220817235
JI-liquid,104980,"PUMP, CENTRIFUGAL",0.5647611044518542,12000.0,6777.133253422251,6500.0,,,0.0,10.0,2.0,1778.381930184805,6,0.0033738534440554595
JI-liquid,104979,"PUMP, CENTRIFUGAL",0.5647611044518542,12000.0,6777.133253422251,6500.0,,,0.0,10.0,2.0,1778.381930184805,6,0.0033738534440554595
SS-biosolids,112684,"PUMP, CENTRIFUGAL",0.5647347163309789,12000.0,6776.816595971747,7240.49,,,0.0,15.0,3.0,527.6386036960986,57,0.10802848692403487
SS-biosolids,112691,"PUMP, CENTRIFUGAL",0.5647347163309789,12000.0,6776.816595971747,7240.49,,,0.0,15.0,3.0,527.6386036960986,57,0.10802848692403487
SS-liquid,118651,"PUMP DRY, PROGRESSING CAVITY",0.5647300842779664,12000.0,6776.761011335598,0.0,2037.0,13.0,0.0,10.0,5.0,759.9794661190965,3,0.00394747507497771
SS-liquid,110407,CLARIFIER FLIGHTS AND CHAIN SYSTEMS,0.5647272702793406,12000.0,6776.727243352087,680362.81,,,0.0,12.0,3.0,503.65503080082135,23,0.04566617742987606
SS-biosolids,112697,"PUMP, CENTRIFUGAL",0.5646322228247355,12000.0,6775.586673896825,7240.49,,,0.0,15.0,3.0,527.6386036960986,58,0.10992372353673723
SS-biosolids,112696,"PUMP, CENTRIFUGAL",0.5646322228247355,12000.0,6775.586673896825,7240.49,,,0.0,15.0,3.0,527.6386036960986,58,0.10992372353673723
SS-biosolids,112695,"PUMP, CENTRIFUGAL",0.5646322228247355,12000.0,6775.586673896825,7240.49,,,0.0,15.0,3.0,527.6386036960986,58,0.10992372353673723
JI-biosolids,105976,"PUMP, CENTRIFUGAL",0.5646135820702416,12000.0,6775.362984842899,7573.63,,,0.0,10.0,2.0,491.66324435318273,3,0.006101737387236886
JI-biosolids,105978,"PUMP, CENTRIFUGAL",0.5646135820702416,12000.0,6775.362984842899,7573.63,,,0.0,10.0,2.0,491.66324435318273,3,0.006101737387236886
JI-biosolids,108345,"BLOWER, CENTRIFUGAL",0.5645272747160502,12000.0,6774.327296592603,126130.12,,,0.0,10.0,2.0,389.7330595482546,3,0.007697576396206534
JI-biosolids,108343,"BLOWER, CENTRIFUGAL",0.5645272747160502,12000.0,6774.327296592603,126130.12,,,0.0,10.0,2.0,389.7330595482546,3,0.007697576396206534
JI-biosolids,108339,"COMPRESSOR, ROTARY",0.5645004939987854,12000.0,6774.005927985425,23874.63,,,0.0,10.0,2.0,854.4147843942505,7,0.008192742129295843
JI-biosolids,108337,"COMPRESSOR, ROTARY",0.5645004939987854,12000.0,6774.005927985425,23874.63,,,0.0,10.0,2.0,854.4147843942505,7,0.008192742129295843
JI-liquid,155798,CLARIFIER MECHANISM,0.5644810168771085,12000.0,6773.772202525302,0.0,2043.0,19.0,0.0,10.0,5.0,350.75975359342914,3,0.008552862662451704
JI-liquid,153074,CLARIFIER MECHANISM,0.5644810168771085,12000.0,6773.772202525302,0.0,2044.0,20.0,0.0,10.0,5.0,350.75975359342914,3,0.008552862662451704
JI-liquid,155794,CLARIFIER MECHANISM,0.5644810168771085,12000.0,6773.772202525302,0.0,2043.0,19.0,0.0,10.0,5.0,350.75975359342914,3,0.008552862662451704
JI-liquid,155795,CLARIFIER MECHANISM,0.5644810168771085,12000.0,6773.772202525302,0.0,2043.0,19.0,0.0,10.0,5.0,350.75975359342914,3,0.008552862662451704
JI-liquid,155796,CLARIFIER MECHANISM,0.5644810168771085,12000.0,6773.772202525302,0.0,2043.0,19.0,0.0,10.0,5.0,350.75975359342914,3,0.008552862662451704
JI-liquid,104651,"BLOWER, CENTRIFUGAL",0.5642386837351001,12000.0,6770.864204821201,182799.0,,,0.0,12.0,3.0,1864.7227926078028,102,0.054699819407126815
JI-liquid,104649,"BLOWER, CENTRIFUGAL",0.5642096753719025,12000.0,6770.516104462829,182799.0,,,0.0,12.0,3.0,1864.7227926078028,103,0.05523609214641237
